Rank,SARIMA,Croston,RandomForest,XGBoost,LightGBM,Ensemble_Ridge
A,65.58432332938524,33.23388351065501,36.33689424879094,37.858459695154224,33.860663836971234,31.930397025805796
B,225.4779055834789,79.46707002323905,73.71278233084409,74.95316679556767,69.9628923851341,69.03732560816348
C,134.3614829391519,119.28446065590757,145.76658847561092,149.34078809283983,141.79487712445135,118.37787075969605
D,346.9014676892543,195.3543840407843,250.91808971358267,254.3192443339483,248.5961141223716,923.7901775132286
